                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1071,                0.51357,                 1.1035,                0.98387,                0.98816,                0.99296,                0.74968,                 0.9948,                0.34941,                 1.0822,              0.0099384,              0.0099384,              0.0099384
                     36,                 1.1043,                0.51255,                 1.1005,                0.98375,                0.98825,                  0.993,                0.75002,                0.99527,                0.34917,                 1.0813,              0.0099365,              0.0099365,              0.0099365
                     37,                 1.0978,                0.50815,                    1.1,                 0.9836,                  0.988,                0.99304,                0.75006,                0.99558,                0.34883,                 1.0806,              0.0099346,              0.0099346,              0.0099346
                     38,                 1.0959,                0.50509,                 1.1023,                0.98369,                0.98757,                0.99285,                0.74953,                0.99602,                0.34832,                 1.0807,              0.0099328,              0.0099328,              0.0099328
                     39,                 1.0921,                0.50406,                 1.0999,                0.98388,                0.98781,                0.99274,                0.74967,                0.99623,                0.34808,                 1.0814,              0.0099309,              0.0099309,              0.0099309
                     40,                 1.0972,                0.50334,                 1.1002,                0.98458,                0.98836,                0.99282,                0.74932,                0.99617,                0.34763,                 1.0814,               0.009929,               0.009929,               0.009929
                     41,                 1.0979,                0.50692,                 1.1033,                0.98462,                0.98732,                0.99268,                 0.7495,                0.99483,                0.34685,                 1.0809,              0.0099272,              0.0099272,              0.0099272
                     42,                 1.0923,                 0.5034,                 1.1044,                0.98416,                0.98756,                0.99268,                0.74989,                0.99457,                0.34717,                 1.0812,              0.0099253,              0.0099253,              0.0099253
                     43,                 1.0944,                0.50256,                 1.1003,                0.98471,                0.98722,                0.99269,                0.75042,                  0.994,                0.34716,                 1.0815,              0.0099234,              0.0099234,              0.0099234
                     44,                 1.0976,                0.50482,                 1.1029,                0.98468,                0.98731,                0.99272,                0.75036,                0.99324,                0.34666,                 1.0813,              0.0099215,              0.0099215,              0.0099215
                     45,                 1.0912,                 0.5029,                  1.094,                 0.9846,                0.98766,                0.99296,                0.75036,                0.99272,                0.34637,                 1.0805,              0.0099197,              0.0099197,              0.0099197
                     46,                 1.0913,                0.50058,                 1.0998,                0.98411,                0.98766,                0.99297,                0.75011,                0.99223,                0.34585,                 1.0799,              0.0099178,              0.0099178,              0.0099178
                     47,                 1.0892,                0.50438,                 1.0971,                0.98349,                 0.9879,                0.99299,                0.75063,                0.99164,                0.34502,                 1.0792,              0.0099159,              0.0099159,              0.0099159
                     48,                 1.0903,                0.49861,                 1.0985,                0.98351,                0.98778,                  0.993,                0.75097,                0.99101,                0.34485,                 1.0787,              0.0099141,              0.0099141,              0.0099141
                     49,                 1.0857,                0.49866,                 1.0999,                0.98364,                0.98784,                0.99297,                0.75117,                0.99099,                0.34481,                 1.0788,              0.0099122,              0.0099122,              0.0099122
                     50,                 1.0827,                0.49596,                 1.0951,                0.98288,                0.98817,                0.99298,                0.75137,                0.99022,                0.34463,                 1.0786,              0.0099103,              0.0099103,              0.0099103
