                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    150,                 1.0533,                0.47667,                 1.0831,                0.98555,                0.98981,                0.99345,                0.75331,                0.98396,                0.33345,                 1.0727,              0.0097235,              0.0097235,              0.0097235
                    151,                 1.0484,                0.47151,                 1.0755,                0.98561,                0.98992,                0.99347,                 0.7532,                0.98403,                0.33319,                 1.0728,              0.0097217,              0.0097217,              0.0097217
                    152,                 1.0524,                0.47558,                 1.0744,                0.98553,                 0.9899,                0.99342,                0.75345,                0.98485,                 0.3332,                 1.0727,              0.0097198,              0.0097198,              0.0097198
                    153,                 1.0485,                0.47275,                 1.0688,                0.98617,                0.98947,                0.99342,                0.75337,                0.98495,                0.33291,                 1.0725,              0.0097179,              0.0097179,              0.0097179
                    154,                 1.0502,                0.47351,                 1.0765,                0.98616,                0.98956,                0.99342,                0.75339,                 0.9851,                0.33266,                 1.0726,              0.0097161,              0.0097161,              0.0097161
                    155,                 1.0488,                0.47331,                 1.0779,                0.98662,                0.98989,                0.99349,                 0.7535,                0.98488,                0.33241,                 1.0723,              0.0097142,              0.0097142,              0.0097142
                    156,                 1.0482,                0.47769,                  1.073,                0.98701,                   0.99,                0.99354,                0.75327,                0.98523,                0.33244,                 1.0716,              0.0097123,              0.0097123,              0.0097123
                    157,                 1.0516,                0.47325,                 1.0766,                0.98688,                 0.9896,                0.99343,                0.75312,                0.98521,                0.33273,                 1.0715,              0.0097105,              0.0097105,              0.0097105
                    158,                 1.0545,                0.47594,                 1.0804,                0.98703,                0.98974,                0.99345,                0.75433,                0.98475,                0.33254,                 1.0715,              0.0097086,              0.0097086,              0.0097086
                    159,                   1.05,                0.47459,                 1.0795,                0.98688,                0.98988,                0.99346,                0.75357,                0.98514,                0.33249,                 1.0719,              0.0097067,              0.0097067,              0.0097067
                    160,                 1.0505,                0.47532,                 1.0832,                0.98704,                0.98992,                0.99344,                0.75389,                0.98542,                0.33267,                 1.0726,              0.0097049,              0.0097049,              0.0097049
                    161,                 1.0516,                0.47674,                  1.075,                0.98637,                0.99009,                0.99341,                0.75339,                0.98597,                0.33282,                 1.0728,               0.009703,               0.009703,               0.009703
                    162,                 1.0503,                0.47424,                 1.0722,                0.98688,                0.99008,                0.99339,                0.75323,                  0.986,                0.33286,                 1.0725,              0.0097011,              0.0097011,              0.0097011
                    163,                 1.0498,                0.47116,                 1.0702,                0.98706,                0.99032,                0.99338,                0.75309,                0.98641,                0.33321,                 1.0724,              0.0096993,              0.0096993,              0.0096993
                    164,                 1.0446,                0.47247,                 1.0756,                0.98699,                0.99053,                0.99339,                0.75316,                0.98637,                0.33332,                 1.0726,              0.0096974,              0.0096974,              0.0096974
                    165,                 1.0487,                0.47391,                 1.0778,                 0.9866,                0.99053,                0.99338,                0.75353,                 0.9862,                0.33327,                 1.0724,              0.0096955,              0.0096955,              0.0096955
                    166,                 1.0511,                 0.4722,                 1.0697,                0.98659,                0.99053,                0.99332,                0.75332,                0.98617,                 0.3333,                 1.0718,              0.0096937,              0.0096937,              0.0096937
                    167,                 1.0506,                0.47455,                 1.0749,                0.98622,                 0.9905,                0.99336,                0.75299,                0.98638,                0.33335,                 1.0718,              0.0096918,              0.0096918,              0.0096918
                    168,                 1.0467,                0.47165,                 1.0732,                0.98612,                0.99047,                0.99341,                0.75337,                0.98611,                0.33325,                 1.0712,              0.0096899,              0.0096899,              0.0096899
                    169,                 1.0484,                0.47116,                  1.073,                0.98585,                0.99049,                 0.9934,                0.75348,                0.98497,                0.33316,                 1.0706,              0.0096881,              0.0096881,              0.0096881
                    170,                 1.0524,                0.47383,                 1.0729,                0.98644,                0.99072,                0.99353,                0.75335,                0.98486,                0.33313,                 1.0703,              0.0096862,              0.0096862,              0.0096862
                    171,                 1.0466,                0.47162,                 1.0729,                0.98631,                0.99052,                0.99351,                0.75367,                0.98476,                 0.3329,                 1.0697,              0.0096843,              0.0096843,              0.0096843
                    172,                 1.0472,                0.47127,                 1.0728,                0.98616,                0.99046,                0.99339,                0.75374,                0.98481,                0.33266,                 1.0697,              0.0096825,              0.0096825,              0.0096825
                    173,                 1.0478,                0.47389,                 1.0784,                  0.986,                0.99062,                 0.9934,                0.75417,                0.98455,                0.33245,                 1.0692,              0.0096806,              0.0096806,              0.0096806
                    174,                  1.046,                0.47105,                 1.0746,                0.98577,                0.99051,                 0.9934,                0.75418,                0.98453,                0.33226,                 1.0688,              0.0096787,              0.0096787,              0.0096787
                    175,                 1.0483,                0.47151,                 1.0773,                0.98567,                0.99072,                0.99347,                0.75404,                0.98488,                 0.3323,                 1.0692,              0.0096768,              0.0096768,              0.0096768
                    176,                 1.0443,                0.46803,                 1.0697,                0.98546,                0.99086,                0.99341,                0.75446,                 0.9848,                0.33218,                 1.0689,               0.009675,               0.009675,               0.009675
                    177,                 1.0443,                 0.4693,                  1.077,                0.98583,                0.99093,                0.99343,                0.75432,                0.98488,                0.33199,                 1.0687,              0.0096731,              0.0096731,              0.0096731
                    178,                 1.0487,                0.47377,                 1.0772,                0.98605,                0.99107,                0.99345,                0.75439,                 0.9852,                0.33172,                  1.069,              0.0096712,              0.0096712,              0.0096712
                    179,                 1.0445,                0.47245,                 1.0697,                0.98638,                0.99105,                 0.9935,                0.75457,                0.98588,                0.33179,                 1.0687,              0.0096694,              0.0096694,              0.0096694
                    180,                 1.0455,                0.46903,                  1.072,                 0.9866,                0.99092,                 0.9935,                0.75417,                0.98635,                0.33164,                 1.0684,              0.0096675,              0.0096675,              0.0096675
                    181,                 1.0477,                0.46894,                 1.0713,                0.98634,                0.99065,                0.99348,                0.75397,                0.98658,                0.33161,                 1.0683,              0.0096656,              0.0096656,              0.0096656
                    182,                 1.0457,                0.47258,                 1.0707,                0.98613,                0.99039,                0.99344,                0.75414,                0.98641,                0.33169,                 1.0682,              0.0096638,              0.0096638,              0.0096638
                    183,                 1.0468,                0.47165,                 1.0715,                0.98618,                0.99096,                0.99351,                0.75379,                0.98644,                0.33151,                 1.0679,              0.0096619,              0.0096619,              0.0096619
                    184,                 1.0443,                0.47031,                 1.0701,                0.98593,                0.99115,                0.99351,                0.75411,                0.98584,                 0.3315,                 1.0677,                0.00966,                0.00966,                0.00966
                    185,                 1.0449,                0.47124,                 1.0681,                 0.9853,                0.99093,                0.99336,                0.75424,                0.98578,                 0.3313,                 1.0672,              0.0096582,              0.0096582,              0.0096582
                    186,                 1.0436,                 0.4692,                 1.0689,                0.98496,                0.99115,                0.99346,                0.75449,                0.98574,                0.33109,                 1.0671,              0.0096563,              0.0096563,              0.0096563
                    187,                 1.0453,                0.46979,                 1.0736,                0.98512,                0.99126,                0.99348,                0.75444,                0.98548,                0.33103,                 1.0672,              0.0096544,              0.0096544,              0.0096544
                    188,                 1.0449,                0.47131,                 1.0764,                0.98542,                0.99102,                0.99352,                0.75413,                0.98528,                0.33114,                 1.0674,              0.0096526,              0.0096526,              0.0096526
                    189,                 1.0478,                0.46983,                 1.0753,                0.98518,                0.99113,                0.99347,                 0.7543,                0.98498,                0.33093,                 1.0669,              0.0096507,              0.0096507,              0.0096507
                    190,                 1.0496,                0.47285,                 1.0796,                0.98478,                0.99113,                0.99344,                 0.7542,                0.98459,                0.33112,                 1.0669,              0.0096488,              0.0096488,              0.0096488
                    191,                 1.0485,                0.47113,                 1.0763,                0.98442,                0.99104,                0.99337,                0.75469,                0.98411,                0.33091,                 1.0668,               0.009647,               0.009647,               0.009647
